Route de Novillard,47.60603600,6.92353800
Route de Pfetterhouse,47.50869600,7.11716800
Route de Phaffans,47.65627900,6.90138900
Route de Romagny,47.72974500,6.96773200
Route de Roppe,47.67023900,6.92992500
Route de Rougegoutte,47.74389800,6.84736400
Route de Rougemont,47.72339200,6.96991500
Route de Sermamagny,47.68887500,6.86970300
Route de Vauthiermont,47.69452100,7.01331500
Route de Vétrigne,47.66702000,6.91341300
Route du Ballon,47.74414900,6.82488000
Rte de Vourvenans,47.56396200,6.85621100
Rubans,47.66210200,6.84323000
Rue d'Autrechêne,47.57491900,6.93944500
Rue d'Héricourt,47.59341900,6.81237900
Rue de Brebotte,47.60307900,6.92879300
Rue de Buc,47.61949200,6.83172100
Rue de Charmois,47.59510400,6.89927800
Rue de Giromagny,47.72038600,6.89833800
Rue de l'Ouvrage,47.59529600,6.89562800
Rue de l'École,47.75387000,6.84832200
Rue de la Combatte,47.54270800,6.96732900
Rue de la Liberté,47.58761700,6.88864800
Rue de la Libération,47.50045800,6.98907800
Rue de la Savoureuse,47.77318800,6.82912000
Rue de Meroux,47.60259500,6.87020900
Rue de Sermamagny,47.70087700,6.82563200
Rue de Valdoie,47.66900500,6.81959600
Rue de Vandoncourt,47.48239100,6.91653200
Rue de Vellescot,47.56325900,7.01186400
Rue de Vézelois,47.59752900,6.89916200
Rue des Carrières,47.74935900,6.84967000
Rue des Creuses,47.69980400,6.81557000
Rue du 15 Juillet,47.59213700,6.89153000
Rue du Canal,47.56094600,6.86491500
Rue du Moulin,47.60786000,6.97033600
Rue du Stade,47.56460500,6.95233000
Rue du Yers,47.68249600,6.79450500
Ruisseau,47.59240700,7.04621900
Ruisseau de la Goutte,47.77662200,6.83457700
Réchésy,47.50826100,7.11062700
République,47.63888900,6.86120600
Saget,47.64111800,6.84115500
Saint Joseph,47.74372900,6.83258200
Saint Laurent,47.50476900,6.91327400
Saint-Dizier,47.47093600,6.96207500
Saint-Germain-le-Châtelet,47.69892600,6.95837900
Salbert,47.65837800,6.84462700
Salle des Fêtes,47.53899600,6.97466100
Sapins,47.61786000,6.96633700
Sappois,47.71559400,6.83504900
Savoureuse,47.66588400,6.84315900
Schuman,47.63330800,6.83843900
Schweitzer,47.65467500,6.83940500
Schwob,47.63423500,6.86124800
